codigo,descricao,unidade,classe,grupo,custo_total,custo_mao_obra,custo_material,custo_equipamento,referencia
5668,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X2, POTÊNCIA LÍQ. 79 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,20 M3, PESO OPERACIONAL MÍN. 6.570 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,45.27,0.00,45.27,0.00,202412
5674,"ROLO COMPACTADOR VIBRATÓRIO DE UM CILINDRO AÇO LISO, POTÊNCIA 80 HP, PESO OPERACIONAL MÁXIMO 8,1 T, IMPACTO DINÂMICO 16,15 / 9,5 T, LARGURA DE TRABALHO 1,68 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,40.11,0.00,0.00,40.11,202412
5678,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,156.77,32.95,55.23,68.59,202412
5679,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,72.26,32.95,4.82,34.49,202412
5680,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X2, POTÊNCIA LÍQ. 79 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,20 M3, PESO OPERACIONAL MÍN. 6.570 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,144.04,32.95,50.09,61.00,202412
5681,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X2, POTÊNCIA LÍQ. 79 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,20 M3, PESO OPERACIONAL MÍN. 6.570 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,68.44,32.95,4.82,30.67,202412
5684,"ROLO COMPACTADOR VIBRATÓRIO DE UM CILINDRO AÇO LISO, POTÊNCIA 80 HP, PESO OPERACIONAL MÁXIMO 8,1 T, IMPACTO DINÂMICO 16,15 / 9,5 T, LARGURA DE TRABALHO 1,68 M - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,161.54,19.52,61.26,80.76,202412
5685,"ROLO COMPACTADOR VIBRATÓRIO DE UM CILINDRO AÇO LISO, POTÊNCIA 80 HP, PESO OPERACIONAL MÁXIMO 8,1 T, IMPACTO DINÂMICO 16,15 / 9,5 T, LARGURA DE TRABALHO 1,68 M - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,64.99,19.52,4.82,40.65,202412
5689,"GRADE DE DISCO CONTROLE REMOTO REBOCÁVEL, COM 24 DISCOS 24 X 6 MM COM PNEUS PARA TRANSPORTE - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,6.32,0.00,0.00,6.32,202412
5690,"GRADE DE DISCO CONTROLE REMOTO REBOCÁVEL, COM 24 DISCOS 24"" X 6 MM COM PNEUS PARA TRANSPORTE - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,4.09,0.00,0.00,4.09,202412
5692,"MOTOBOMBA CENTRÍFUGA, MOTOR A GASOLINA, POTÊNCIA 5,42 HP, BOCAIS 1 1/2"" X 1"", DIÂMETRO ROTOR 143 MM HM/Q = 6 MCA / 16,8 M3/H A 38 MCA / 6,6 M3/H - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,0.37,0.00,0.00,0.37,202412
5693,"MOTOBOMBA CENTRÍFUGA, MOTOR A GASOLINA, POTÊNCIA 5,42 HP, BOCAIS 1 1/2"" X 1"", DIÂMETRO ROTOR 143 MM HM/Q = 6 MCA / 16,8 M3/H A 38 MCA / 6,6 M3/H - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,20.94,0.00,20.94,0.00,202412
5695,"CAMINHÃO BASCULANTE 6 M3, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA 13.071 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 230 CV INCLUSIVE CAÇAMBA METÁLICA - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,39.14,0.00,0.00,39.14,202412
5703,"USINA DE CONCRETO FIXA, CAPACIDADE NOMINAL DE 90 A 120 M3/H, SEM SILO - MATERIAIS NA OPERAÇÃO. AF_07/2016",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,23.32,0.00,0.00,0.00,202412
5705,"CAMINHÃO TOCO, PBT 16.000 KG, CARGA ÚTIL MÁX. 10.685 KG, DIST. ENTRE EIXOS 4,8 M, POTÊNCIA 189 CV, INCLUSIVE CARROCERIA FIXA ABERTA DE MADEIRA P/ TRANSPORTE GERAL DE CARGA SECA, DIMEN. APROX. 2,5 X 7,00 X 0,50 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,37.42,0.00,0.00,37.42,202412
5707,"USINA MISTURADORA DE SOLOS, CAPACIDADE DE 200 A 500 TON/H, POTENCIA 75KW - MANUTENÇÃO. AF_07/2016",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,78.94,0.00,0.00,78.94,202412
5710,"VIBROACABADORA DE ASFALTO SOBRE ESTEIRAS, LARGURA DE PAVIMENTAÇÃO 1,90 M A 5,30 M, POTÊNCIA 105 HP CAPACIDADE 450 T/H - MANUTENÇÃO. AF_11/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,138.42,0.00,0.00,138.42,202412
5711,"VIBROACABADORA DE ASFALTO SOBRE ESTEIRAS, LARGURA DE PAVIMENTAÇÃO 1,90 M A 5,30 M, POTÊNCIA 105 HP CAPACIDADE 450 T/H - MATERIAIS NA OPERAÇÃO. AF_11/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,87.94,0.00,87.94,0.00,202412
5714,"TRATOR DE PNEUS, POTÊNCIA 85 CV, TRAÇÃO 4X4, PESO COM LASTRO DE 4.675 KG - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,18.07,0.00,0.00,18.07,202412
5715,"TRATOR DE PNEUS, POTÊNCIA 85 CV, TRAÇÃO 4X4, PESO COM LASTRO DE 4.675 KG - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,66.54,0.00,66.54,0.00,202412
5718,"TRATOR DE ESTEIRAS, POTÊNCIA 170 HP, PESO OPERACIONAL 19 T, CAÇAMBA 5,2 M3 - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,104.96,0.00,104.96,0.00,202412
5721,"TRATOR DE ESTEIRAS, POTÊNCIA 150 HP, PESO OPERACIONAL 16,7 T, COM RODA MOTRIZ ELEVADA E LÂMINA 3,18 M3 - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,92.60,0.00,92.60,0.00,202412
5722,"TRATOR DE ESTEIRAS, POTÊNCIA 347 HP, PESO OPERACIONAL 38,5 T, COM LÂMINA 8,70 M3 - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,214.17,0.00,214.17,0.00,202412
5724,"TRATOR DE ESTEIRAS, POTÊNCIA 100 HP, PESO OPERACIONAL 9,4 T, COM LÂMINA 2,19 M3 - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,59.61,0.00,0.00,59.61,202412
5727,"ROLO COMPACTADOR VIBRATÓRIO REBOCÁVEL, CILINDRO DE AÇO LISO, POTÊNCIA DE TRAÇÃO DE 65 CV, PESO 4,7 T, IMPACTO DINÂMICO 18,3 T, LARGURA DE TRABALHO 1,67 M - MANUTENÇÃO. AF_02/2016",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,12.10,0.00,0.00,12.10,202412
5729,"ROLO COMPACTADOR VIBRATÓRIO TANDEM AÇO LISO, POTÊNCIA 58 HP, PESO SEM/COM LASTRO 6,5 / 9,4 T, LARGURA DE TRABALHO 1,2 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,49.26,0.00,0.00,49.26,202412
5730,"ROLO COMPACTADOR VIBRATÓRIO TANDEM AÇO LISO, POTÊNCIA 58 HP, PESO SEM/COM LASTRO 6,5 / 9,4 T, LARGURA DE TRABALHO 1,2 M - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,40.36,0.00,40.36,0.00,202412
5735,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 72 HP, CAÇAMBA CARREG. CAP. MÍN. 0,79 M3, CAÇAMBA RETRO CAP. 0,18 M3, PESO OPERACIONAL MÍN. 7.140 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,50 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,32.90,0.00,0.00,32.90,202412
5736,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 72 HP, CAÇAMBA CARREG. CAP. MÍN. 0,79 M3, CAÇAMBA RETRO CAP. 0,18 M3, PESO OPERACIONAL MÍN. 7.140 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,50 M - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,41.25,0.00,41.25,0.00,202412
5738,"ROLO COMPACTADOR VIBRATÓRIO PÉ DE CARNEIRO, OPERADO POR CONTROLE REMOTO, POTÊNCIA 12,5 KW, PESO OPERACIONAL 1,675 T, LARGURA DE TRABALHO 0,85 M - DEPRECIAÇÃO. AF_02/2016",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,43.80,0.00,0.00,43.80,202412
5739,"ROLO COMPACTADOR VIBRATÓRIO PÉ DE CARNEIRO, OPERADO POR CONTROLE REMOTO, POTÊNCIA 12,5 KW, PESO OPERACIONAL 1,675 T, LARGURA DE TRABALHO 0,85 M - MANUTENÇÃO. AF_02/2016",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,54.81,0.00,0.00,54.81,202412
5741,"USINA DE LAMA ASFÁLTICA, PROD 30 A 50 T/H, SILO DE AGREGADO 7 M3, RESERVATÓRIOS PARA EMULSÃO E ÁGUA DE 2,3 M3 CADA, MISTURADOR TIPO PUG MILL A SER MONTADO SOBRE CAMINHÃO - MANUTENÇÃO. AF_10/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,42.78,0.00,0.00,42.78,202412
5742,"USINA DE LAMA ASFÁLTICA, PROD 30 A 50 T/H, SILO DE AGREGADO 7 M3, RESERVATÓRIOS PARA EMULSÃO E ÁGUA DE 2,3 M3 CADA, MISTURADOR TIPO PUG MILL A SER MONTADO SOBRE CAMINHÃO - MATERIAIS NA OPERAÇÃO. AF_10/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,27.24,0.00,27.24,0.00,202412
5747,"CAMINHÃO PIPA 6.000 L, PESO BRUTO TOTAL 13.000 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 189 CV INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA, CAPACIDADE 6 M3 - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,156.20,0.00,156.20,0.00,202412
5751,"CAMINHÃO TOCO, PESO BRUTO TOTAL 14.300 KG, CARGA ÚTIL MÁXIMA 9590 KG, DISTÂNCIA ENTRE EIXOS 4,76 M, POTÊNCIA 185 CV (NÃO INCLUI CARROCERIA) - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,31.97,0.00,0.00,31.97,202412
5754,"CAMINHÃO TOCO, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA DE 10.685 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 189 CV EXCLUSIVE CARROCERIA - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,35.10,0.00,0.00,35.10,202412
5763,"CAMINHÃO PIPA 10.000 L TRUCADO, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,8 M, POTÊNCIA 230 CV, INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,50.16,0.00,0.00,50.16,202412
5765,"ESPARGIDOR DE ASFALTO PRESSURIZADO COM TANQUE DE 2500 L, REBOCÁVEL COM MOTOR A GASOLINA POTÊNCIA 3,4 HP - MANUTENÇÃO. AF_07/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,4.64,0.00,0.00,4.64,202412
5766,"ESPARGIDOR DE ASFALTO PRESSURIZADO COM TANQUE DE 2500 L, REBOCÁVEL COM MOTOR A GASOLINA POTÊNCIA 3,4 HP - MATERIAIS NA OPERAÇÃO. AF_07/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,2.92,0.00,2.92,0.00,202412
5779,"MOTONIVELADORA POTÊNCIA BÁSICA LÍQUIDA (PRIMEIRA MARCHA) 125 HP, PESO BRUTO 13032 KG, LARGURA DA LÂMINA DE 3,7 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,73.30,0.00,0.00,73.30,202412
5787,"PÁ CARREGADEIRA SOBRE RODAS, POTÊNCIA 197 HP, CAPACIDADE DA CAÇAMBA 2,5 A 3,5 M3, PESO OPERACIONAL 18338 KG - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,69.50,0.00,69.50,0.00,202412
5795,"MARTELETE OU ROMPEDOR PNEUMÁTICO MANUAL, 28 KG, COM SILENCIADOR - CHP DIURNO. AF_07/2016",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,29.91,20.76,4.82,4.33,202412
5797,"COMPRESSOR DE AR REBOCÁVEL, VAZÃO 189 PCM, PRESSÃO EFETIVA DE TRABALHO 102 PSI, MOTOR DIESEL, POTÊNCIA 63 CV - MANUTENÇÃO. AF_06/2015",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,6.65,0.00,0.00,6.65,202412
5800,"BOMBA SUBMERSÍVEL ELÉTRICA TRIFÁSICA, POTÊNCIA 2,96 HP, Ø ROTOR 144 MM SEMI-ABERTO, BOCAL DE SAÍDA Ø 2"", HM/Q = 2 MCA / 38,8 M3/H A 28 MCA / 5 M3/H - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,0.51,0.00,0.00,0.51,202412
5806,"MOTOBOMBA CENTRÍFUGA, MOTOR A GASOLINA, POTÊNCIA 5,42 HP, BOCAIS 1 1/2"" X 1"", DIÂMETRO ROTOR 143 MM HM/Q = 6 MCA / 16,8 M3/H A 38 MCA / 6,6 M3/H - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,0.41,0.00,0.00,0.41,202412
5811,"CAMINHÃO BASCULANTE 6 M3, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA 13.071 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 230 CV INCLUSIVE CAÇAMBA METÁLICA - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,205.10,27.63,104.87,72.60,202412
5823,"USINA DE CONCRETO FIXA, CAPACIDADE NOMINAL DE 90 A 120 M3/H, SEM SILO - CHP DIURNO. AF_07/2016",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,223.67,93.76,28.38,78.21,202412
5824,"CAMINHÃO TOCO, PBT 16.000 KG, CARGA ÚTIL MÁX. 10.685 KG, DIST. ENTRE EIXOS 4,8 M, POTÊNCIA 189 CV, INCLUSIVE CARROCERIA FIXA ABERTA DE MADEIRA P/ TRANSPORTE GERAL DE CARGA SECA, DIMEN. APROX. 2,5 X 7,00 X 0,50 M - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,215.93,26.59,119.88,69.46,202412
5826,"CAMINHÃO TOCO, PBT 16.000 KG, CARGA ÚTIL MÁX. 10.685 KG, DIST. ENTRE EIXOS 4,8 M, POTÊNCIA 189 CV, INCLUSIVE CARROCERIA FIXA ABERTA DE MADEIRA P/ TRANSPORTE GERAL DE CARGA SECA, DIMEN. APROX. 2,5 X 7,00 X 0,50 M - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,63.45,26.59,4.82,32.04,202412
5829,"USINA DE CONCRETO FIXA, CAPACIDADE NOMINAL DE 90 A 120 M3/H, SEM SILO - CHI DIURNO. AF_07/2016",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,164.73,93.76,28.38,42.59,202412
5835,"VIBROACABADORA DE ASFALTO SOBRE ESTEIRAS, LARGURA DE PAVIMENTAÇÃO 1,90 M A 5,30 M, POTÊNCIA 105 HP CAPACIDADE 450 T/H - CHP DIURNO. AF_11/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,373.59,25.95,92.76,254.88,202412
5837,"VIBROACABADORA DE ASFALTO SOBRE ESTEIRAS, LARGURA DE PAVIMENTAÇÃO 1,90 M A 5,30 M, POTÊNCIA 105 HP CAPACIDADE 450 T/H - CHI DIURNO. AF_11/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,147.23,25.95,4.82,116.46,202412
5839,"VASSOURA MECÂNICA REBOCÁVEL COM ESCOVA CILÍNDRICA, LARGURA ÚTIL DE VARRIMENTO DE 2,44 M - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,9.33,0.00,0.00,9.33,202412
5841,"VASSOURA MECÂNICA REBOCÁVEL COM ESCOVA CILÍNDRICA, LARGURA ÚTIL DE VARRIMENTO DE 2,44 M - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,4.69,0.00,0.00,4.69,202412
5843,"TRATOR DE PNEUS, POTÊNCIA 122 CV, TRAÇÃO 4X4, PESO COM LASTRO DE 4.510 KG - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,183.78,30.17,100.32,53.29,202412
